content_id,phase_id,title,url,author
dsr,p5,【FF14/絶解説】絶竜詩戦争 いいところ取り死刻+α アニメーション解説【ぬけまる】,https://www.youtube.com/watch?v=TBt_AgoHn80,ぬけまるG
dsr,p6,【FF14/絶解説】絶竜詩戦争 2天竜フェーズ 図解解説【ぬけまる】,https://www.youtube.com/watch?v=3yJpWHmKjpg,ぬけまるG
dsr,p7,【FF14/絶解説】絶竜詩戦争 最終フェーズ 図解解説 軽減例付き 忍暗白視点【ぬけまる】,https://www.youtube.com/watch?v=1fsbzkZsWUE,ぬけまるG
dsr,p7,【絶竜詩戦争】文字を読みたくない人のための騎竜神トールダン【解説】,https://www.youtube.com/watch?v=pRkdxw9YOLo,
p5s,p1,【 FF14 / 煉獄零式解説 】煉獄編 零式 1層 さらっと解説 概要欄にマクロあります【ぬけまる】,https://www.youtube.com/watch?v=GRrZvJT1fXM,ぬけまるG
p5s,p1,【 FF14 】速報版 パンデモニウム 煉獄編 零式1層 解説動画 【 犬丸のぞみ 】,https://www.youtube.com/watch?v=W7nJ5q8cU7w,犬丸のぞみ
p6s,p1,【 FF14 / 煉獄零式解説 】煉獄編 零式 2層 さらっと解説【ぬけまる】,https://www.youtube.com/watch?v=pibChZ8AjZ8,ぬけまるG
p6s,p1,【 FF14 】速報版 パンデモニウム 煉獄編 零式2層 解説動画 【 犬丸のぞみ 】,https://www.youtube.com/watch?v=0DOhkqfDELw,犬丸のぞみ
p7s,p1,【 FF14 / 煉獄零式解説 】煉獄編 零式 ３層 獄八凶無敵乱犬丸 主流図解解説【ぬけまる】,https://www.youtube.com/watch?v=iaxDpAfkTIA,ぬけまるG
p7s,p1,主流まとめ解説 ハピおじ ほララ 辺獄無敵 零式3層をアニメーションで理解する動画【 ぬけまる 】最新版,https://www.youtube.com/watch?v=31_2BeHgSwQ,ぬけまるG
p7s,p1,生命の繁茂【凶】 無敵式 解説動画!! 【煉獄編零式3層】【賢者視点】【FF14】,https://www.youtube.com/watch?v=ltw49krh4JI,
